タイトル,フリガナ,著者,カテゴリ,タイプ,読了巻/P,全巻/P,ステータス,形態,評価,読了日,メモ,完結済み,次巻発売日,発売日
はじめの一歩［森川ジョージ］(Digital SD),はじめのいっぽ,,manga,series,0,145,reading,,,,,false,,
ハッピーファミリー 復讐のレンタルお母さん,はっぴーふぁみりー ふくしゅうのれんたるおかあさん,,manga,series,0,7,reading,,,,,false,,
ハッピーマリオネット,はっぴーまりおねっと,,manga,series,0,4,reading,,,,,false,,
バトル・ロワイアル［田口雅之］全15巻,ばとる ろわいある,,manga,series,0,15,reading,,,,,false,,
花の慶次 -雲のかなたに-［隆慶一郎］全18巻,はなのけいじ くものかなたに,,manga,series,0,18,reading,,,,,false,,
半グレ―六本木 摩天楼のレクイエム― [山本隆一郎×草下シンヤ],はんぐれ ろっぽんぎ まてんろうのれくいえむ,,manga,series,0,5,reading,,,,,false,,
万能鑑定士Qの事件簿［松岡圭祐］,ばんのうかんていしきゅーのじけんぼ,,manga,series,0,6,reading,,,,,false,,
バンビーノ！,ばんびーの,,manga,series,0,15,reading,,,,,false,,
バンビーノ！ セコンド,ばんびーの せこんど,,manga,series,0,13,reading,,,,,false,,
ピアノの森［一色まこと］26巻,ぴあののもり,,manga,series,0,26,reading,,,,,false,,
左利きのエレン,ひだりききのえれん,,manga,series,0,20,reading,,,,,false,,
ビブリア古書堂の事件手帖,びぶりあこしょどうのじけんてちょう,,manga,series,0,6,reading,,,,,false,,
卑弥呼 [リチャード・ウー×中村真理子],ひみこ,,manga,series,0,17,reading,,,,,false,,
フォックスの威,ふぉっくすのい,,manga,series,0,5,reading,,,,,false,,
復讐チャンネル ウラミン ～公開処刑ナマ配信中～,ふくしゅうちゃんねる うらみん こうかいしょけいなまはいしんちゅう,,manga,series,0,9,reading,,,,,false,,
復習の未亡人,ふくしゅうのみぼうじん,,manga,series,0,19,reading,,,,,false,,
豚の復讐 [黒田高祥×仁藤砂雨],ぶたのふくしゅう,,manga,series,0,11,reading,,,,,false,,
ふたりソロキャンプ[出端祐大],ふたりそろきゃんぷ,,manga,series,0,7,reading,,,,,false,,
無頼伝 涯［福本伸行］,ぶらいでん がい,,manga,series,0,5,reading,,,,,false,,
ブラック芸能事務所ですが何か？,ぶらっくげいのうじむしょですがなにか,,manga,series,0,1,reading,,,,,false,,
ブラックジャック［手塚治虫］全22巻,ぶらっくじゃっく,,manga,series,0,26,reading,,,,,false,,
ブラックラグーン［広江礼威］,ぶらっくらぐーん,,manga,series,0,11,reading,,,,,false,,
降り積もれ孤独な死よ [井龍一×伊藤翔太],ふりつもれこどくなしよ,,manga,series,0,6,reading,,,,,false,,
ブレイブストーリー 新説［宮部みゆき］,ぶれいぶすとーりー しんせつ,,manga,series,0,15,reading,,,,,false,,
プロゴルファー猿［藤子不二雄］全13巻,ぷろごるふぁーさる,,manga,series,0,13,reading,,,,,false,,
ベアフェイス ～公安を去った男～ [狛犬はやと],べあふぇいす こうあんをさったおとこ,,manga,series,0,5,reading,,,,,false,,
平成敗残兵すみれちゃん [里見U],へいせいはいざんへいすみれちゃん,,manga,series,0,7,reading,,,,,false,,
平和の国の島崎へ [濱田轟天],へいわのくにのしまざきへ,,manga,series,0,10,reading,,,,,false,,
べしゃり暮らし［森田まさのり］,べしゃりぐらし,,manga,series,0,19,reading,,,,,false,,
変な家 [雨穴 綾野暁],へんないえ,,manga,series,0,3,reading,,,,,false,,
ボーイズ・オン・ザ・ラン［花沢健吾］全10巻,ぼーいずおんざらん,,manga,series,0,10,reading,,,,,false,,
ぼくたちの離婚 [稲田豊史×雨群],ぼくたちのりこん,,manga,series,0,2,reading,,,,,false,,
北斗の拳［原哲夫］全27巻,ほくとのけん,,manga,series,0,27,reading,,,,,false,,
北斗の拳 拳王軍ザコたちの晩歌 [原哲夫×武論尊×倉尾宏],ほくとのけん けんおうぐんざこたちのばんか,,manga,series,0,2,reading,,,,,false,,
北斗の拳 Digital SD,ほくとのけん でじたるえすでぃー,,manga,series,0,27,reading,,,,,false,,
マイホームヒーロー,まいほーむひーろー,,manga,series,0,26,reading,,,,,false,,
マザーパラサイト [佐藤洋寿],まざーぱらさいと,,manga,series,0,14,reading,,,,,false,,
マトリの推し事 芸能人の家宅捜索をやりたくて,まとりのおしごと げいのうじんのかたくそうさくをやりたくて,,manga,series,0,3,reading,,,,,false,,
マネーの拳,まねーのこぶし,,manga,series,0,12,reading,,,,,false,,
満州アヘンスクワッド,まんしゅうあへんすくわっど,,manga,series,0,22,reading,,,,,false,,
ミステリと言う勿れ [田村由美],みすてりというなかれ,,manga,series,0,13,reading,,,,,false,,
ミナミの帝王［天王寺大］,みなみのていおう,,manga,series,0,185,reading,,,,,false,,
ミナミの帝王ヤング［天王寺大］,みなみのていおうやんぐ,,manga,series,0,6,reading,,,,,false,,
ミワさんなりすます [青木U平],みわさんなりすます,,manga,series,0,16,reading,,,,,false,,
モラハラ夫の復讐代行いたします！ [花牟礼サキ×村田らむ],もらはらおっとのふくしゅうだいこういたします,,manga,series,0,3,reading,,,,,false,,
モンキーターン［河合克敏］全30巻,もんきーたーん,,manga,series,0,30,reading,,,,,false,,
ヤバマン サレ妻の秘密の離婚準備,やばまん されづまのひみつのりこんじゅんび,,manga,series,0,8,reading,,,,,false,,
闇金ウシジマくん［真鍋昌平］,やみきんうしじまくん,,manga,series,0,46,reading,,,,,false,,
闇金ウシジマくん外伝 肉蝮伝説,やみきんうしじまくんがいでん にくまむしでんせつ,,manga,series,0,21,reading,,,,,false,,
闇麻のマミヤ [福本伸行],やみまのまみや,,manga,series,0,7,reading,,,,,false,,
雄飛 [小山ゆう],ゆうひ,,manga,series,0,16,reading,,,,,false,,
ろくでなしBLUES [森田まさのり] 全42巻,ろくでなしぶるーす,,manga,series,0,42,reading,,,,,false,,
私のHな履歴書みてください,わたしのえっちなりれきしょみてください,,manga,series,0,12,reading,,,,,false,,
わたるがぴゅん[なかいま強],わたるがぴゅん,,manga,series,0,58,reading,,,,,false,,
ワンナイト・モーニング [奥山ケニチ],わんないともーにんぐ,,manga,series,0,15,reading,,,,,false,,
ワンピース カラー ダブルページ版,わんぴーす からー だぶるぺーじばん,,manga,series,0,83,reading,,,,,false,,
1日外出録ハンチョウ,1にちがいしゅつろくはんちょう,,manga,series,0,16,reading,,,,,false,,
20世紀少年［浦沢直樹］全22巻,20せいきしょうねん,,manga,series,0,24,reading,,,,,false,,
Angel Heart［北条司］1-33,angel heart,,manga,series,0,33,reading,,,,,false,,
ASKアスク[新堂冬樹 東西],ask,,manga,series,0,7,reading,,,,,false,,
AZUMI［小山ゆう］全18巻,azumi,,manga,series,0,18,reading,,,,,false,,
BANANA FISH［吉田秋生］全11巻,banana fish,,manga,series,0,12,reading,,,,,false,,
BECK［ハロルド作石］全34巻,beck,,manga,series,0,36,reading,,,,,false,,
BLOODY MONDAY［龍門諒］全11巻,bloody monday,,manga,series,0,11,reading,,,,,false,,
BLOODY MONDAY ラストシーズン[龍門諒×恵広史],bloody monday last season,,manga,series,0,4,reading,,,,,false,,
DEATH NOTE カラー版,death note,,manga,series,0,12,reading,,,,,false,,
FAIRY TAIL フェアリーテイル［真島ヒロ］01-35,fairy tail,,manga,series,0,35,reading,,,,,false,,
GIANT KILLING［綱本将也］,giant killing,,manga,series,0,48,reading,,,,,false,,
HERO アカギの遺志を継ぐ男,hero,,manga,series,0,6,reading,,,,,false,,
HUNTER×HUNTER,hunter hunter,,manga,series,0,35,reading,,,,,false,,
HUNTER×HUNTER カラー版 全34巻,hunter hunter color,,manga,series,0,34,reading,,,,,false,,
JIN-仁- 全20巻 [村上もとか],jin,,manga,series,0,20,reading,,,,,false,,
JUMBO MAX～ハイパーED薬密造人～ [高橋ツトム],jumbo max,,manga,series,0,15,reading,,,,,false,,
Kingdom(Digital SD),kingdom,,manga,series,0,62,reading,,,,,false,,
MONSTER 完全版 デジタルVer [浦沢直樹],monster,,manga,series,0,18,reading,,,,,false,,
NARUTO ナルト— カラー版,naruto,,manga,series,0,72,reading,,,,,false,,
NHKにようこそ! [滝本竜彦×大岩ケンヂ],nhk ni youkoso,,manga,series,0,8,reading,,,,,false,,
ONE OUTS ［甲斐谷忍］1-19,one outs,,manga,series,0,19,reading,,,,,false,,
ONE PIECE ワンピース［尾田栄一郎］,one piece,,manga,series,0,106,reading,,,,,false,,
ONE PIECE カラー版,one piece color,,manga,series,0,105,reading,,,,,false,,
Plute［浦沢直樹☓手塚治虫］1-8,plute,,manga,series,0,8,reading,,,,,false,,
ROOKIES -ルーキーズ[森田まさのり],rookies,,manga,series,0,24,reading,,,,,false,,
SとM［村生ミオ］,s to m,,manga,series,0,31,reading,,,,,false,,
SHONANセブン 高橋伸輔 藤沢とおる,shonan seven,,manga,series,0,16,reading,,,,,false,,
SLAM DUNK SHINSOBAN,slam dunk,,manga,series,0,8,reading,,,,,false,,
SPYxFamily,spy family,,manga,series,0,9,reading,,,,,false,,
SPY×FAMILY カラー版,spy family color,,manga,series,0,4,reading,,,,,false,,
The Band [ハロルド作石],the band,,manga,series,0,3,reading,,,,,false,,
TOUGH 龍を継ぐ男[猿渡哲也],tough,,manga,series,0,32,reading,,,,,false,,
